_id,song,orig,cover,in_album
5f12ecf70bad3a78ca43c105,I Want to Conquer the World,Bad Religion,Astream,Fuck Hell: This Is a Tribute to Bad Religion
5f12ecf70bad3a78ca43c106,I Want To Hold Your Hand,The Beatles,Al Green,Anthology (disc 2)
5f12ecf70bad3a78ca43c107,I Want to Hold Your Hand,The Beatles,Homer & Jethro,"America's Song Butchers: The Weird World of Homer & Jethro"
5f12ecf70bad3a78ca43c108,I Want to Hold Your Hand,The Beatles,Lakeside,Your Wish Is My Command
5f12ecf70bad3a78ca43c109,I Want to Hold Your Hand,The Beatles,Petula Clark,The Song Stylist: Part One
5f12ecf70bad3a78ca43c10a,I Want To Hold Your Hand,The Beatles,Rita Lee,"Aqui, Ali, Em Qualquer Lugar"
5f12ecf70bad3a78ca43c10b,I Want to Hold Your Hand,The Beatles,Sparks,Big Beat
5f12ecf70bad3a78ca43c10c,I Want to Hold Your Hand,The Beatles,"The King's Singers",The Beatles Connection
5f12ecf70bad3a78ca43c10d,I Want to Hold Your Hand,The Beatles,The Smithereens,Meet the Smithereens
5f12ecf70bad3a78ca43c10e,I Want to Hold Your Hand,The Beatles,The Supremes,"Volume 3: Baby Don't Go"
5f12ecf70bad3a78ca43c10f,I Want to Know What Love Is,Foreigner,Clay Aiken,A Thousand Different Ways
5f12ecf70bad3a78ca43c110,I Want to Know What Love Is,Foreigner,Mariah Carey,Memoirs of an Imperfect Angel
5f12ecf70bad3a78ca43c111,I Want to Know What Love Is,Foreigner,Shirley Bassey,The Power of Love
5f12ecf70bad3a78ca43c112,I want to know what love is,Foreigner,Tina Arena,In deep
5f12ecf70bad3a78ca43c113,I Want to Know What Love Is,Foreigner,Wynonna,What the World Needs Now Is Love
5f12ecf70bad3a78ca43c114,I Want to Live (feat. Bill Lamb),Gary Ogan,This Mortal Coil,Filigree & Shadow
5f12ecf70bad3a78ca43c115,I Want to See the Bright Lights Tonight,Richard & Linda Thompson,Continental Drifters,"Listen, Listen"
5f12ecf70bad3a78ca43c116,I Want to Stay Here,Steve Lawrence & Eydie Gormé,Dusty Springfield,Reputation
5f12ecf70bad3a78ca43c117,I Want to Stay Here,Steve Lawrence & Eydie Gormé,Miki & Griff,100 Shagadelic Sixties Classics (disc 4)
5f12ecf70bad3a78ca43c118,I Want to Stay Here,Steve Lawrence & Eydie Gormé,Peaches & Herb,The Best Of
5f12ecf70bad3a78ca43c119,I Want to Stay Here,Steve Lawrence & Eydie Gormé,Tiny Tim,Girl (feat. Brave Combo)
5f12ecf70bad3a78ca43c11a,I Want to Take You Higher,Sly & The Family Stone,Blues Traveler,Hempilation: Freedom is NORML
5f12ecf70bad3a78ca43c11b,I Want to Take You Higher,Sly & The Family Stone,Ike & Tina Turner,Absolutely the Best
5f12ecf70bad3a78ca43c11c,I Want To Take You Higher,Sly & The Family Stone,Sonia Dada,Lay Down And Love It Live
5f12ecf70bad3a78ca43c11d,I Want to Take You Higher,Sly & The Family Stone,Steven Tyler with Robert Randolph,Different Strokes by Different Folks
5f12ecf70bad3a78ca43c11e,I Want to Take You Higher (instrumental),Sly & The Family Stone,Prince,R U Gonna Go My Way? (disc 2)
5f12ecf70bad3a78ca43c11f,I Want to Tell You,George Harrison,Grateful Dead,"1994-07-13: Highgate, VT, USA (disc 2)"
5f12ecf70bad3a78ca43c120,I Want to Tell You,The Beatles,George Harrison,Live in Japan (disc 1)
5f12ecf70bad3a78ca43c121,I Want To Tell You,The Beatles,Ted Nugent,State Of Shock
5f12ecf70bad3a78ca43c122,I Want to Tell You,The Beatles,The Smithereens,Songs From the Material World: A Tribute to George Harrison
5f12ecf70bad3a78ca43c123,I Want to Thank You,Alicia Myers,Robin S.,Energy Rush - 7th Heaven
5f12ecf70bad3a78ca43c124,I Want to Vanish,Elvis Costello,June Tabor,Against the Streams
5f12ecf70bad3a78ca43c125,I Want You,Bob Dylan,Bruce Springsteen,Main Point Night (disc 1)
5f12ecf70bad3a78ca43c126,I Want You,Bob Dylan,Sophie B. Hawkins,Tongues and Tails
5f12ecf70bad3a78ca43c127,I Want You,Bob Dylan,The Hollies,Sing Dylan
5f12ecf70bad3a78ca43c128,I Want You,Bob Dylan,Tony Joe White,Roosevelt & Ira Lee
5f12ecf70bad3a78ca43c129,I Want You,Elvis Costello,Scarfo,Cosmonaut No. 7
5f12ecf70bad3a78ca43c12a,I Want You,KISS,Galactic Cowboys,Feel the Rage
5f12ecf70bad3a78ca43c12b,I Want You,KISS,King Snake Roost,Hard to Believe: A Kiss Covers Compilation
5f12ecf70bad3a78ca43c12c,I Want You,Marvin Gaye,Madonna,Something to Remember
5f12ecf70bad3a78ca43c12d,I Want You,Marvin Gaye,Michael McDonald,Blink of an Eye
5f12ecf70bad3a78ca43c12e,I Want You,Marvin Gaye,Todd Rundgren,With a Twist...
5f12ecf70bad3a78ca43c12f,I Want You,The Troggs,Cynics,Learn to Lose
5f12ecf70bad3a78ca43c130,I Want You,The Troggs,Matthew Sweet,Shape Shifter
5f12ecf70bad3a78ca43c131,I Want You,The Troggs,MC5,Power Trip
5f12ecf70bad3a78ca43c132,I Want You,Third Eye Blind,Alana Davis,Fortune Cookies
5f12ecf70bad3a78ca43c133,I Want You,Tom Waits,Holly Cole,Temptation
5f12ecf70bad3a78ca43c134,I Want You,Tony Joe White,Christine McVie,The Legendary Christine Perfect Album
5f12ecf70bad3a78ca43c135,"I Want You (She's So Heavy)",The Beatles,"Booker T. & The MG's","Uncut 2001.06: Why Don't We Do It in the Road?"
5f12ecf70bad3a78ca43c136,"I Want You (She's So Heavy)",The Beatles,Coroner,Mental Vortex
5f12ecf70bad3a78ca43c137,"I Want You (She's So Heavy)",The Beatles,Eddie Hazel,"Games, Dames, And Guitar Thangs"
5f12ecf70bad3a78ca43c138,"I Want You (She's So Heavy)",The Beatles,John Legend,Live From Philadelphia
5f12ecf70bad3a78ca43c139,"I Want You (She's So Heavy)",The Beatles,Robyn Hitchcock,Mojo Presents: Abbey Road Now!
5f12ecf70bad3a78ca43c13a,I Want You Around,Ramones,Chemical People,Gabba Gabba Hey: A Tribute to the Ramones
5f12ecf70bad3a78ca43c13b,I Want You Back,Hoodoo Gurus,Spazzys,Stoneage Cameos
5f12ecf70bad3a78ca43c13c,I Want You Back,Michael Jackson,Sheryl Crow,100 Miles From Memphis
5f12ecf70bad3a78ca43c13d,I Want You Back,The Jackson 5,Angry Salad,The Guinea Pig EP
5f12ecf70bad3a78ca43c13e,I Want You Back,The Jackson 5,Cleopatra,"Comin' Atcha"
5f12ecf70bad3a78ca43c13f,I Want You Back,The Jackson 5,David Ruffin,David
5f12ecf70bad3a78ca43c140,I Want You Back,The Jackson 5,Graham Parker,Ultimate Collection
5f12ecf70bad3a78ca43c141,I Want You Back,The Jackson 5,Jonah Matranga,The Three Sketchys (1999-2005)
5f12ecf70bad3a78ca43c142,I Want You Back,The Jackson 5,KT Tunstall,"Saturday Sessions: The Dermot O'Leary Show (disc 1)"
5f12ecf70bad3a78ca43c143,I Want You Back,The Jackson 5,Lake Street Dive,Fun Machine
5f12ecf70bad3a78ca43c144,I Want You Back,The Jackson 5,West End Girls,I Want You Back
5f12ecf70bad3a78ca43c145,I Want You Bad,NRBQ,Charlie Robison,Step Right Up
5f12ecf70bad3a78ca43c146,I Want You Bad,NRBQ,Dan Baird,Buffalo Nickel
5f12ecf70bad3a78ca43c147,I Want You Bad,NRBQ,Dave Edmunds,Information
5f12ecf70bad3a78ca43c148,I Want You Bad,NRBQ,The Long Ryders,Two Fisted Tales
5f12ecf70bad3a78ca43c149,I Want You Right Now,MC5,Turbonegro,Small Feces (disc 2)
5f12ecf70bad3a78ca43c14a,I Want You to Be My Baby,Louis Jordan,Don Lang,"Great British Rock 'n' Roll Just About as Good as It Gets! The Original Rock 'n' Roll Recordings 1948-1956"
5f12ecf70bad3a78ca43c14b,I Want You to Be My Baby,Louis Jordan,Georgia Gibbs,Jukebox Revival
5f12ecf70bad3a78ca43c14c,I Want You to Be My Baby,Louis Jordan,Louis Prima,The Capitol Recordings (disc 3)
5f12ecf70bad3a78ca43c14d,I Want You to Want Me,Cheap Trick,Ac•Rock,Acappellago
